STG,SCG,STR,LPR,PEG, UNS
0.74,0.8,0.48,0.8,0.67,Low
0.85,0.77,0.59,0.28,0.5,Middle
0.04,0.17,0.82,0.21,0.06,Middle
0.44,0.68,0.38,0.01,0.06,Low
0.68,0.25,0.8,0.23,0.7,Low
0.05,0.51,0.24,0.7,0.64,High
0.19,0.79,0.75,0.44,0.61,Low
0.7,0.61,0.37,0.06,0.69,Middle
0.77,0.77,0.02,0.06,0.9,Middle
0.85,0.45,0.24,0.68,0.6,Middle
0.78,0.5,0.0,0.64,0.63,Middle
0.44,0.22,0.33,0.61,0.25,Low
0.43,0.32,0.11,0.44,0.19,Middle
0.56,0.47,0.65,0.67,0.18,High
0.15,0.8,0.53,0.77,0.41,very_low
0.86,0.9,0.64,0.87,0.92,High
0.65,0.44,0.59,0.25,0.3,Low
0.39,0.79,0.1,0.91,0.49,High
0.19,0.35,0.31,0.01,0.39,Low
0.29,0.03,0.08,0.03,0.72,Low
0.92,0.39,0.72,0.51,0.79,Middle
0.31,0.52,0.2,0.87,0.2,Low
0.63,0.08,0.08,0.89,0.27,Middle
0.33,0.13,0.28,0.59,0.48,Low
0.06,0.32,0.19,0.87,0.49,Middle
0.12,0.41,0.77,0.61,0.4,Low
0.95,0.8,0.88,0.8,0.4,Low
0.24,0.65,0.69,0.24,0.88,very_low
0.29,0.17,0.73,0.45,0.81,Middle
0.02,0.54,0.19,0.59,0.24,Middle
0.93,0.3,0.48,0.2,0.23,Low
0.95,0.12,0.34,0.42,0.38,High
0.59,0.37,0.12,0.29,0.76,High
0.56,0.44,0.81,0.56,0.32,Low
0.14,0.42,0.83,0.64,0.24,Low
0.96,0.65,0.34,0.37,0.48,Middle
0.2,0.78,0.75,0.22,0.57,Low
0.07,0.44,0.46,0.45,0.24,Low
0.28,0.31,0.66,0.31,0.42,Middle
0.5,0.66,0.67,0.93,0.28,High
0.31,0.37,0.09,0.1,0.64,Low
0.56,0.35,0.2,0.53,0.28,High
0.41,0.88,0.35,0.26,0.08,High
0.75,0.65,0.32,0.84,0.26,Low
0.91,0.03,0.93,0.04,0.42,Middle
0.45,0.76,0.08,0.23,0.29,Low
0.06,0.65,0.8,0.26,0.12,Middle
0.24,0.03,0.47,0.03,0.38,High
0.19,0.23,0.01,0.57,0.51,Middle
0.85,0.22,0.75,0.55,0.52,Middle
0.69,0.9,0.06,0.04,0.61,Low
0.96,0.28,0.45,0.07,0.23,Low
0.28,0.61,0.88,0.39,0.7,Low
0.09,0.17,0.42,0.56,0.84,Low
0.63,0.2,0.65,0.46,0.65,High
0.82,0.38,0.46,0.19,0.88,Middle
0.01,0.78,0.8,0.03,0.24,Low
0.17,0.45,0.28,0.99,0.68,Low
0.58,0.85,0.69,0.72,0.65,very_low
0.37,0.04,0.69,0.85,0.81,High
0.9,0.07,0.11,0.88,0.84,Low
0.8,0.26,0.77,0.11,0.59,Low
0.89,0.38,0.9,0.79,0.33,Middle
0.75,0.81,0.36,0.1,0.06,very_low
0.52,0.29,0.76,0.78,0.14,Low
0.31,0.06,0.39,0.7,0.7,Low
0.2,0.08,0.89,0.75,0.74,Low
0.69,0.46,0.62,0.79,0.12,very_low
0.23,0.53,0.58,0.78,0.74,High
0.5,0.27,0.3,0.86,0.06,Middle
0.52,0.11,0.31,0.09,0.91,Low
0.59,0.44,0.62,0.04,0.23,Low
0.51,0.62,0.91,0.96,0.22,Middle
0.33,0.75,0.23,0.78,0.16,High
0.58,0.85,0.73,0.23,0.34,High
0.47,0.62,0.69,0.89,0.61,High
0.05,0.65,0.64,0.18,0.8,Low
0.29,0.4,0.78,0.36,0.36,Middle
0.19,0.88,0.57,0.8,0.38,High
0.19,0.17,0.22,0.77,0.76,Middle
0.97,0.43,0.62,0.81,0.75,Middle
0.7,0.21,0.51,0.56,0.44,Middle
0.43,0.12,0.05,0.53,0.34,Middle
0.3,0.62,0.67,0.48,0.56,very_low
0.43,0.75,0.74,0.17,0.41,Middle
0.94,0.76,0.43,0.57,0.83,Middle
0.19,0.53,0.46,0.84,0.36,very_low
0.26,0.01,0.02,0.33,0.56,Middle
0.88,0.55,0.15,0.83,0.02,Middle
0.8,0.46,0.29,0.44,0.19,High
0.25,0.49,0.8,0.39,0.09,Low
0.93,0.26,0.38,0.38,0.58,High
0.98,0.67,0.27,0.72,0.24,Low
0.5,0.53,0.75,0.26,0.7,Middle
0.81,0.69,0.04,0.71,0.86,Middle
0.17,0.03,0.53,0.42,0.13,Low
0.39,0.41,0.85,0.8,0.88,Low
0.06,0.54,0.11,0.64,0.28,High
0.19,0.14,0.89,0.66,0.06,Low
0.65,0.03,0.19,0.93,0.03,Low
0.68,0.11,0.21,0.27,0.58,Low
0.56,0.88,0.27,0.79,0.09,High
0.42,0.48,0.85,0.54,0.56,Middle
0.13,0.06,0.13,0.6,0.65,Low
0.2,0.22,0.87,0.9,0.9,Low
0.3,0.4,0.83,0.46,0.31,High
0.61,0.06,0.95,0.26,0.92,High
0.35,0.87,0.85,0.47,0.92,High
0.92,0.14,0.1,0.71,0.49,High
0.91,0.16,0.66,0.0,0.48,High
0.18,0.68,0.21,0.97,0.17,Low
0.63,0.41,0.31,0.56,0.2,very_low
0.38,0.33,0.21,0.87,0.29,Middle
0.71,0.02,0.85,0.07,0.25,very_low
0.93,0.34,0.76,0.57,0.28,Low
0.0,0.38,0.15,0.63,0.55,Middle
0.2,0.05,0.48,0.87,0.36,Middle
0.7,0.6,0.3,0.31,0.88,High
0.45,0.1,0.06,0.86,0.59,Low
0.73,0.63,0.32,0.39,0.91,Middle
0.39,0.84,0.23,0.74,0.92,Middle
0.2,0.47,0.31,0.61,0.39,Low
0.65,0.18,0.68,0.4,0.35,Middle
0.88,0.45,0.42,0.35,0.37,High
0.07,0.74,0.33,0.33,0.3,Middle
0.61,0.53,0.06,0.55,0.8,Low
0.79,0.3,0.68,0.86,0.41,High
0.76,0.18,0.04,0.02,0.86,Low
0.29,0.28,0.53,0.47,0.43,Low
0.54,0.55,0.17,0.13,0.24,Middle
0.57,0.22,0.76,0.84,0.24,High
0.16,0.82,0.25,0.1,0.4,Low
0.08,0.47,0.84,0.73,0.13,High
0.92,0.32,0.46,0.73,0.74,Low
0.76,0.78,0.28,0.26,0.41,Low
0.0,0.08,0.09,0.77,0.81,High
0.59,0.27,0.3,0.62,0.62,Middle
0.43,0.6,0.53,0.95,0.93,Middle
0.33,0.84,0.09,0.51,0.0,Middle
0.63,0.5,0.61,0.04,0.15,High
0.52,0.44,0.12,0.92,0.9,Middle
0.36,0.25,0.66,0.39,0.35,Middle
0.73,0.51,0.51,0.13,0.02,Middle
0.71,0.73,0.76,0.77,0.82,High
0.15,0.17,0.55,0.15,0.29,Middle
0.67,0.48,0.53,0.06,0.82,Middle
0.72,0.05,0.3,0.16,0.13,Middle
0.18,0.41,0.37,0.55,0.78,Middle
0.33,0.64,0.49,0.95,0.03,Low
0.68,0.28,0.16,0.95,0.87,Middle
0.07,0.53,0.53,0.56,0.67,very_low
0.91,0.71,0.01,0.18,0.06,Low
0.8,0.07,0.47,0.24,0.32,Middle
0.87,0.19,0.84,0.83,0.25,High
0.49,0.33,0.77,0.68,0.49,Middle
0.28,0.85,0.28,0.65,0.77,High
0.66,0.27,0.19,0.6,0.25,High
0.53,0.17,0.13,0.43,0.48,very_low
0.13,0.81,0.79,0.33,0.91,Middle
0.47,0.54,0.23,0.99,0.76,Middle
0.51,0.31,0.51,0.9,0.56,Low
0.79,0.4,0.15,0.73,0.91,Low
0.32,0.46,0.08,0.41,0.59,Low
0.55,0.53,0.92,0.56,0.92,Middle
0.13,0.33,0.47,0.73,0.42,High
0.81,0.01,0.37,0.39,0.11,Middle
0.12,0.59,0.88,0.72,0.86,High
0.52,0.55,0.56,0.93,0.74,High
0.78,0.54,0.55,0.39,0.75,Low
0.3,0.1,0.51,0.55,0.11,Low
0.38,0.19,0.08,0.33,0.91,Low
0.98,0.39,0.0,0.67,0.22,Middle
0.07,0.68,0.2,0.62,0.52,very_low
0.67,0.83,0.21,0.14,0.28,Middle
0.95,0.4,0.93,0.77,0.85,Middle
0.25,0.49,0.1,0.75,0.34,Low
0.77,0.75,0.02,0.38,0.8,High
0.59,0.33,0.82,0.46,0.57,High
0.41,0.0,0.41,0.61,0.89,Low
0.02,0.66,0.55,0.42,0.91,Middle
0.79,0.64,0.33,0.44,0.43,High
0.61,0.65,0.04,0.98,0.05,Middle
0.33,0.37,0.48,0.4,0.75,Middle
0.58,0.07,0.08,0.98,0.1,Middle
0.22,0.1,0.82,0.14,0.71,Low
0.27,0.69,0.74,0.18,0.74,very_low
0.48,0.67,0.48,0.54,0.19,Middle
0.68,0.43,0.39,0.4,0.21,Middle
0.11,0.69,0.43,0.9,0.04,High
0.83,0.7,0.69,0.9,0.49,Low
0.7,0.77,0.42,0.66,0.66,Middle
0.35,0.64,0.58,0.64,0.21,very_low
0.03,0.46,0.72,0.44,0.54,Middle
0.77,0.72,0.83,0.26,0.05,Low
0.91,0.72,0.74,0.12,0.58,Middle
0.96,0.76,0.14,0.35,0.34,High
0.18,0.51,0.68,0.52,0.5,Low
0.14,0.24,0.83,0.32,0.41,Low
0.67,0.74,0.05,0.66,0.81,Low
0.66,0.39,0.08,0.89,0.2,very_low
0.79,0.09,0.7,0.51,0.1,Middle
0.81,0.09,0.82,0.54,0.11,Low
0.3,0.56,0.64,0.09,0.7,High
0.31,0.87,0.15,0.37,0.7,Low
0.94,0.13,0.41,0.71,0.93,very_low
0.14,0.14,0.02,0.61,0.29,Middle
0.22,0.45,0.01,0.84,0.73,Middle
0.95,0.28,0.32,0.98,0.6,Low
0.0,0.22,0.29,0.64,0.45,Low
0.65,0.35,0.38,0.96,0.03,very_low
0.28,0.22,0.36,0.08,0.41,Middle
0.45,0.06,0.09,0.37,0.91,High
0.16,0.33,0.53,0.91,0.64,High
0.23,0.05,0.84,0.47,0.87,Middle
0.13,0.12,0.72,0.13,0.46,Low
0.77,0.64,0.94,0.02,0.71,Low
0.29,0.64,0.39,0.7,0.61,Middle
0.78,0.32,0.39,0.91,0.25,Middle
0.6,0.13,0.73,0.24,0.07,Low
0.16,0.71,0.26,0.99,0.39,Low
0.33,0.77,0.27,0.03,0.84,very_low
0.08,0.59,0.93,0.5,0.26,Low
0.49,0.73,0.95,0.83,0.22,very_low
0.66,0.75,0.74,0.43,0.27,High
0.63,0.58,0.11,0.54,0.37,High
0.99,0.36,0.18,0.43,0.32,very_low
0.53,0.54,0.57,0.2,0.77,High
0.6,0.45,0.75,0.95,0.15,Middle
0.72,0.35,0.94,0.56,0.65,Middle
0.03,0.88,0.91,0.42,0.01,Middle
0.16,0.33,0.53,0.38,0.44,very_low
0.52,0.38,0.05,0.91,0.69,Low
0.72,0.37,0.31,0.85,0.61,very_low
0.83,0.66,0.82,0.16,0.56,High
0.08,0.08,0.32,0.15,0.61,Low
0.96,0.34,0.75,0.36,0.07,Middle
0.38,0.46,0.11,0.59,0.11,Low
0.7,0.39,0.44,0.95,0.33,Middle
0.23,0.68,0.61,0.15,0.58,Middle
0.48,0.14,0.18,0.16,0.04,Middle
0.52,0.83,0.88,0.59,0.56,very_low
0.06,0.68,0.23,0.42,0.73,Low
0.13,0.45,0.94,0.72,0.55,High
0.88,0.24,0.36,0.4,0.74,Middle
0.84,0.04,0.36,0.88,0.62,High
0.87,0.67,0.31,0.73,0.13,very_low
0.08,0.62,0.06,0.89,0.36,Middle
0.85,0.07,0.33,0.59,0.22,High
0.83,0.84,0.4,0.33,0.64,Middle
0.67,0.56,0.7,0.68,0.87,Low
0.21,0.59,0.72,0.1,0.59,Middle
0.1,0.44,0.26,0.97,0.61,High
0.87,0.58,0.61,0.11,0.65,Middle
0.32,0.26,0.81,0.79,0.13,Middle
0.74,0.29,0.49,0.1,0.37,Middle
0.74,0.61,0.5,0.82,0.9,Low
0.02,0.75,0.79,0.59,0.6,High
0.81,0.71,0.07,0.57,0.5,very_low
0.84,0.87,0.31,0.35,0.63,Low
0.46,0.13,0.35,0.3,0.6,Low
0.2,0.03,0.1,0.71,0.74,High
0.41,0.61,0.6,0.75,0.61,Middle
0.24,0.07,0.45,0.79,0.1,Low
0.84,0.86,0.05,0.59,0.11,Low
0.41,0.31,0.8,0.45,0.57,very_low
0.58,0.3,0.73,0.65,0.07,Low
0.49,0.13,0.61,0.56,0.23,Low
0.29,0.75,0.12,0.99,0.09,Middle
0.01,0.06,0.76,0.31,0.49,very_low
0.43,0.8,0.11,0.0,0.9,Middle
0.07,0.68,0.85,0.26,0.38,High
0.86,0.23,0.37,0.13,0.8,Low
0.7,0.59,0.34,0.58,0.58,Low
0.23,0.15,0.01,0.94,0.74,Middle
0.47,0.43,0.68,0.48,0.11,Middle
0.91,0.19,0.43,0.86,0.52,Middle
0.93,0.24,0.01,0.41,0.42,Middle
0.8,0.41,0.62,0.09,0.75,High
0.76,0.29,0.01,0.39,0.89,Low
0.5,0.66,0.07,0.96,0.55,Middle
0.64,0.57,0.37,0.26,0.09,Middle
0.46,0.37,0.92,0.34,0.71,Low
0.58,0.68,0.24,0.18,0.21,Middle
0.29,0.77,0.85,0.44,0.28,Low
0.94,0.69,0.2,0.05,0.54,High
0.86,0.13,0.73,0.98,0.89,High
0.23,0.03,0.6,0.06,0.31,Middle
0.38,0.01,0.49,0.94,0.17,Middle
0.28,0.0,0.53,0.65,0.88,very_low
0.21,0.75,0.03,0.52,0.66,very_low
0.55,0.04,0.79,0.09,0.18,Low
0.86,0.42,0.65,0.31,0.15,High
0.4,0.04,0.18,0.76,0.47,very_low
0.07,0.74,0.13,0.81,0.13,Middle
0.56,0.88,0.95,0.49,0.25,very_low
0.5,0.23,0.93,0.3,0.7,Middle
0.07,0.03,0.85,0.05,0.36,Low
0.87,0.34,0.03,0.5,0.23,High
0.59,0.25,0.18,0.6,0.77,Middle
0.46,0.42,0.51,0.03,0.83,very_low
0.86,0.01,0.56,0.48,0.67,Middle
0.69,0.85,0.49,0.27,0.38,High
0.96,0.31,0.42,0.63,0.28,High
0.34,0.16,0.93,0.37,0.31,Low
0.25,0.41,0.67,0.57,0.19,High
0.35,0.2,0.56,0.8,0.8,Middle
0.28,0.76,0.71,0.73,0.11,Middle
0.04,0.89,0.07,0.77,0.11,Middle
0.63,0.11,0.87,0.82,0.91,Low
0.1,0.13,0.65,0.98,0.06,Middle
0.32,0.55,0.84,0.43,0.2,Middle
0.84,0.62,0.48,0.48,0.68,Middle
0.89,0.25,0.63,0.21,0.68,Middle
0.87,0.39,0.58,0.62,0.29,Middle
0.57,0.58,0.46,0.86,0.82,Low
0.07,0.69,0.32,0.97,0.63,Low
0.84,0.02,0.79,0.98,0.02,Middle
0.32,0.61,0.73,0.34,0.53,very_low
0.37,0.05,0.6,0.97,0.78,High
0.65,0.5,0.46,0.73,0.71,Low
0.69,0.22,0.36,0.22,0.27,Middle
0.24,0.71,0.13,0.2,0.79,Middle
0.71,0.35,0.45,0.05,0.39,Low
0.3,0.81,0.72,0.35,0.51,Middle
0.32,0.73,0.22,0.0,0.45,Middle
0.84,0.19,0.57,0.9,0.16,Low
0.26,0.77,0.01,0.33,0.82,Low
0.07,0.17,0.59,0.77,0.28,Low
0.46,0.41,0.62,0.09,0.34,Low
0.69,0.8,0.23,0.44,0.07,Middle
0.87,0.26,0.4,0.82,0.88,High
0.48,0.38,0.17,0.19,0.24,Middle
0.21,0.65,0.57,0.43,0.59,High
0.46,0.01,0.47,0.31,0.55,High
0.17,0.82,0.15,0.27,0.18,High
0.65,0.45,0.07,0.16,0.6,Middle
0.54,0.04,0.06,0.25,0.28,Middle
0.71,0.27,0.29,0.55,0.67,Low
0.19,0.57,0.82,0.95,0.39,Middle
0.14,0.08,0.21,0.04,0.78,Low
0.62,0.44,0.58,0.7,0.22,High
0.88,0.52,0.19,0.08,0.13,Middle
0.33,0.28,0.53,0.14,0.49,High
0.44,0.85,0.91,0.55,0.46,Middle
0.76,0.46,0.84,0.59,0.84,Middle
0.72,0.25,0.61,0.99,0.08,Low
0.17,0.73,0.46,0.71,0.09,Low
0.8,0.04,0.92,0.3,0.01,Middle
0.39,0.66,0.67,0.8,0.41,Middle
0.04,0.29,0.76,0.94,0.45,Low
0.8,0.29,0.89,0.83,0.47,Middle
0.72,0.29,0.87,0.82,0.31,High
0.01,0.6,0.13,0.89,0.87,Middle
0.3,0.2,0.66,0.23,0.16,Middle
0.13,0.07,0.5,0.82,0.05,Low
0.99,0.34,0.11,0.37,0.78,Low
0.69,0.76,0.28,0.43,0.42,Middle
0.02,0.54,0.77,0.92,0.72,Middle
0.26,0.37,0.65,0.97,0.57,Middle
0.55,0.6,0.37,0.45,0.74,very_low
0.49,0.57,0.05,0.4,0.33,Low
0.61,0.75,0.65,0.56,0.7,High
0.32,0.6,0.31,0.7,0.4,Low
0.17,0.32,0.44,0.46,0.03,High
0.46,0.21,0.19,0.96,0.85,Low
0.35,0.1,0.25,0.46,0.41,Middle
0.03,0.28,0.34,0.1,0.51,Middle
0.67,0.81,0.51,0.92,0.03,High
0.98,0.16,0.95,0.17,0.32,High
0.6,0.86,0.3,0.37,0.41,Middle
0.94,0.07,0.09,0.46,0.29,very_low
0.44,0.03,0.01,0.17,0.47,High
0.84,0.53,0.89,0.52,0.03,Middle
0.18,0.87,0.59,0.25,0.43,Middle
0.17,0.34,0.18,0.72,0.68,High
0.48,0.44,0.54,0.5,0.71,Middle
0.21,0.28,0.65,0.28,0.78,Low
0.32,0.85,0.62,0.38,0.2,High
0.72,0.02,0.43,0.18,0.38,High
0.28,0.82,0.91,0.91,0.02,High
0.89,0.79,0.73,0.59,0.2,Middle
0.67,0.08,0.13,0.78,0.82,Middle
0.01,0.53,0.28,0.91,0.75,High
0.03,0.84,0.43,0.25,0.42,Middle
0.73,0.76,0.03,0.89,0.07,Low
0.15,0.66,0.31,0.87,0.06,Middle
0.11,0.43,0.71,0.89,0.3,very_low
0.89,0.88,0.4,0.62,0.52,High
0.03,0.75,0.67,0.2,0.83,High
0.83,0.79,0.56,0.24,0.57,Middle
0.25,0.23,0.05,0.13,0.81,Middle
0.76,0.01,0.24,0.09,0.89,Middle
0.77,0.39,0.16,0.03,0.8,Middle
0.19,0.54,0.01,0.66,0.18,High
0.77,0.43,0.91,0.1,0.57,High
0.12,0.68,0.11,0.79,0.08,Low
0.51,0.48,0.32,0.8,0.41,Low
0.04,0.79,0.88,0.22,0.01,Low
